Device ID,User,Total Backup Data (MB),OS,Device Added
4237730,3131313,0.00,Windows,04/16/20 08:01
4236354,3204609,0.00,Mac OS X,04/15/20 17:53
4221923,1833789,0.00,Mac OS X,04/11/20 23:14
4218764,707596,0.00,Mac OS X,04/09/20 20:46
4216872,3192632,0.00,Mac OS X,04/09/20 08:40
4193694,162031,0.00,Mac OS X,04/02/20 20:53
4192254,154477,0.00,Mac OS X,04/02/20 17:19
4173798,3160032,0.00,Mac OS X,03/29/20 16:38
4173129,450468,0.00,Windows,03/28/20 17:12
4173045,3159669,0.00,Windows,03/28/20 12:36
4166117,279571,0.00,Mac OS X,03/26/20 17:30
4165692,967032,0.00,Windows,03/26/20 15:21
4162229,2486060,0.00,Windows,03/25/20 20:31
4161477,3149790,0.00,Windows,03/25/20 19:23
4158139,245292,0.00,Mac OS X,03/24/20 19:14
4153757,3149790,0.00,Windows,03/23/20 17:33
4150407,154424,0.00,Windows,03/21/20 00:31
4150001,237774,0.00,Windows,03/20/20 19:37
4149508,1794525,0.00,Mac OS X,03/20/20 16:34
4149496,1751001,0.00,Windows,03/20/20 16:31
4149240,3147681,0.00,Windows,03/20/20 15:20
4146864,163684,0.00,Mac OS X,03/19/20 21:57
4146850,163684,0.00,Windows,03/19/20 21:45
4145795,722266,0.00,Mac OS X,03/19/20 16:24
4142159,154353,0.00,Windows,03/18/20 17:39
4136002,3142784,0.00,Windows,03/17/20 23:01
4132284,1413847,0.00,Windows,03/16/20 21:16
4131287,3140657,0.00,Mac OS X,03/16/20 16:44
4130660,3140424,0.00,Windows,03/16/20 15:33
4130650,3140418,0.00,Windows,03/16/20 15:31
4126660,2606372,0.00,Windows,03/13/20 23:47
4126264,3136712,0.00,Mac OS X,03/13/20 20:09
4121473,2244512,0.00,Windows,03/12/20 20:02
4121371,2244512,0.00,Windows,03/12/20 19:36
4121066,3136311,0.00,Mac OS X,03/12/20 18:04
4120769,242921,0.00,Windows,03/12/20 16:29
4119428,196219,0.00,Windows,03/12/20 11:16
4117141,3134388,0.00,Mac OS X,03/11/20 20:43
4117057,3134375,0.00,Windows,03/11/20 20:07
4116326,245436,0.00,Windows,03/11/20 16:30
4116082,3133908,0.00,Windows,03/11/20 15:18
4115759,3133831,0.00,Windows,03/11/20 14:17
4115729,3133825,0.00,Mac OS X,03/11/20 14:09
4109762,747550,0.00,Windows,03/10/20 22:04
4109479,2539358,0.00,Windows,03/10/20 20:17
4108565,2448968,0.00,Windows,03/10/20 16:30
4107930,240922,0.00,Windows,03/10/20 15:27
4105791,3131313,0.00,Windows,03/09/20 22:10
4105768,609457,0.00,Mac OS X,03/09/20 22:08
4105375,237697,0.00,Windows,03/09/20 20:17
4097429,3127474,0.00,Windows,03/06/20 21:52
4097155,2346074,0.00,Windows,03/06/20 20:14
4096040,3126675,0.00,Windows,03/06/20 15:40
4095916,2540401,0.00,Windows,03/06/20 15:01
4094090,3125640,0.00,Windows,03/06/20 02:34
4093723,606779,0.00,Mac OS X,03/05/20 22:53
4093273,1058926,0.00,Windows,03/05/20 20:49
4093254,3125241,0.00,Mac OS X,03/05/20 20:44
4092688,158739,0.00,Mac OS X,03/05/20 18:11
4092097,237662,0.00,Windows,03/05/20 15:22
4091588,3124421,0.00,Windows,03/05/20 13:34
4087071,357366,0.00,Windows,03/04/20 17:20
4084125,163684,0.00,Windows,03/03/20 22:52
4082910,238693,0.00,Windows,03/03/20 17:24
4078122,3117924,0.00,Windows,03/02/20 17:23
4077890,3117736,0.00,Windows,03/02/20 16:39
4077829,3117697,0.00,Windows,03/02/20 16:27
4077818,3117692,0.00,Windows,03/02/20 16:26
4075560,3116477,0.00,Windows,03/02/20 09:15
4075277,3116365,0.00,Windows,03/02/20 07:58
4074392,3115925,0.00,Windows,03/01/20 20:29
4071364,3114194,0.00,Windows,02/29/20 01:27
4070741,560246,0.00,Windows,02/28/20 20:51
4066635,3077019,0.00,Windows,02/27/20 23:11
4066042,1278827,0.00,Windows,02/27/20 20:38
4065507,247988,0.00,Mac OS X,02/27/20 18:32
4059795,237633,0.00,Windows,02/26/20 18:36
4059602,2411009,0.00,Windows,02/26/20 17:45
4059275,245738,0.00,Mac OS X,02/26/20 16:19
4059168,1404023,0.00,Windows,02/26/20 15:55
4056251,3104548,0.00,Windows,02/25/20 23:36
4054806,1321188,0.00,Mac OS X,02/25/20 18:41
4052349,3102695,0.00,Windows,02/25/20 09:45
4052138,2747484,0.00,Windows,02/25/20 08:08
