Device ID,First Backup Status,First Backup Size,System Settings Backup,Time Taken,OS Platform,Device OS,User ID
4237730,In Progress (84.71 %),17188.40,Not Backed Up,4:40,Windows,Win 10,3131313
4236354,Not Connected (100.00 %),12612.96,Not Backed Up,14:03,Mac OS X,Catalina,3204609
4221923,In Progress (89.94 %),239699.36,Not Backed Up,59:59,Mac OS X,Catalina,1833789
4218764,Complete,303098.86,Not Backed Up,30:34,Mac OS X,Catalina,707596
4216872,Never Backed Up,-,Not Backed Up,-,Mac OS X,Mojave,3192632
4193694,Complete,1688.84,Not Backed Up,0:10,Mac OS X,Mojave,162031
4192254,Complete,9083.36,Not Backed Up,5:17,Mac OS X,Catalina,154477
4173798,Complete,793.72,Not Backed Up,0:53,Mac OS X,High Sierra,3160032
4173129,Complete,8312.00,Not Backed Up,13:15,Windows,Win 10,450468
4173045,Complete,287.15,Not Backed Up,0:03,Windows,Win 10,3159669
4166117,Complete,157392.18,Not Backed Up,11:59,Mac OS X,Mojave,279571
4165692,Complete,288.46,Not Backed Up,0:04,Windows,Win 10,967032
4162229,Complete,903.70,Not Backed Up,0:08,Windows,Win 10,2486060
4161477,Complete,687.42,Not Backed Up,0:05,Windows,Win 10,3149790
4158139,Complete,1298.56,Not Backed Up,0:05,Mac OS X,Mojave,245292
4153757,Complete,921.76,Not Backed Up,0:06,Windows,Win 10,3149790
4150407,Complete,39.28,Not Backed Up,0:02,Windows,Win 10,154424
4150001,Not Connected (71.70 %),2223.09,Not Backed Up,0:30,Windows,Win 10,237774
4149508,Complete,15779.75,Not Backed Up,3:28,Mac OS X,Catalina,1794525
4149496,Complete,115.51,Not Backed Up,0:02,Windows,Win 10,1751001
4149240,Complete,367.25,Not Backed Up,0:02,Windows,Win 10,3147681
4146864,Complete,4409.37,Not Backed Up,1:13,Mac OS X,Catalina,163684
4146850,Complete,328.01,Not Backed Up,0:02,Windows,Win 10,163684
4145795,Complete,10.94,Not Backed Up,0:00,Mac OS X,Catalina,722266
4142159,Complete,4228.09,Not Backed Up,1:03,Windows,Win 10,154353
4136002,Complete,432.62,Not Backed Up,0:30,Windows,Win 10,3142784
4132284,Complete,28238.92,Not Backed Up,2:46,Windows,Win 10,1413847
4131287,Complete,357.63,Not Backed Up,0:32,Mac OS X,Catalina,3140657
4130660,Complete,327.66,Not Backed Up,0:02,Windows,Win 10,3140424
4130650,Complete,328.77,Not Backed Up,0:03,Windows,Win 10,3140418
4126660,Complete,126.21,Not Backed Up,0:01,Windows,Win 10,2606372
4126264,Complete,124401.96,Not Backed Up,84:28,Mac OS X,Catalina,3136712
