Restore Status,Device ID,User ID,Restore Size,Restore Start,Restore Complete,Number of Files,System Settings Restored,Restore Type
Restore done,2880517,421646,6840.95,02/18/20 18:42,02/18/20 19:45,83080,No,Self
Restore done,2880517,421646,6840.95,02/18/20 20:00,02/18/20 20:43,83080,No,Self
Restore done,2880517,421646,9824.69,02/18/20 20:10,02/18/20 20:23,1862,No,Self
Restore done,994260,156141,0.00,02/18/20 20:24,02/18/20 20:25,1,No,Self
Restore done,2880517,421646,9824.69,02/18/20 20:43,02/18/20 20:49,1862,No,Self
Restore done,2880517,421646,8712.64,02/18/20 20:49,02/18/20 21:11,33326,No,Self
Restore done,2880517,421646,8712.64,02/18/20 20:59,02/18/20 21:12,33326,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.02,02/18/20 21:12,02/18/20 21:12,3,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:12,02/18/20 21:12,2,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:12,02/18/20 21:12,4,No,Self
Restore done,2880517,421646,1.09,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.32,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.06,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.50,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.50,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:12,02/18/20 21:12,1,No,Self
Restore done,2880517,421646,0.07,02/18/20 21:13,02/18/20 21:13,1,No,Self
Restore done,2880517,421646,0.02,02/18/20 21:13,02/18/20 21:13,3,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:13,02/18/20 21:13,2,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:13,02/18/20 21:13,1,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:13,02/18/20 21:13,4,No,Self
Restore done,2880517,421646,1.09,02/18/20 21:13,02/18/20 21:13,1,No,Self
Restore done,2880517,421646,0.32,02/18/20 21:13,02/18/20 21:13,1,No,Self
Restore done,2880517,421646,0.06,02/18/20 21:13,02/18/20 21:13,1,No,Self
Restore done,2880517,421646,0.50,02/18/20 21:13,02/18/20 21:13,1,No,Self
Restore done,2880517,421646,0.50,02/18/20 21:14,02/18/20 21:14,1,No,Self
Restore done,2880517,421646,0.00,02/18/20 21:14,02/18/20 21:14,1,No,Self
Restore done,2880517,421646,0.07,02/18/20 21:14,02/18/20 21:14,1,No,Self
Restore done,2783789,237212,21501.74,02/19/20 19:16,02/19/20 21:36,561450,No,Self
Restore done,2551631,1958716,33.45,02/20/20 04:36,02/20/20 04:36,37,No,Web
Restore done,2551631,1958716,88.23,02/20/20 04:36,02/20/20 04:36,33,No,Web
Restore done,2551631,1958716,121.68,02/20/20 17:02,02/20/20 17:02,70,No,Web
Restore done,3462104,2575732,2397.03,02/20/20 17:26,02/20/20 17:53,20784,No,Self
Restore done,368955,240318,42.78,02/20/20 17:34,02/20/20 17:34,172,No,Web
Restore done,2551631,1958716,0.00,02/21/20 06:35,02/21/20 06:35,1,No,Web
Restore done,2783789,237212,0.08,02/21/20 16:52,02/21/20 16:52,13,No,Self
Restore done,2259082,154424,87.38,02/21/20 18:50,02/21/20 18:51,910,Yes,Self
Restore done,2259082,154424,3269.15,02/21/20 18:51,02/21/20 19:02,4102,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\sboreham\\AppData\\Local\\Adobe\\OOBE\\opm.db',3466709,2577778,15718.41,02/21/20 20:10,02/21/20 22:14,88341,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\evyn2481\\AppData\\Local\\Comms\\UnistoreDB\\store.jfm',3391041,2539471,7080.99,02/21/20 21:07,02/21/20 23:06,106439,No,Self
Restore done,2551631,1958716,0.07,02/23/20 22:54,02/23/20 22:54,1,No,Web
